codigo_AMB_92;descricao_AMB_92;codigo_TUSS;descricao_TUSS;
28060075;ANTIC.CONTRA ANTIG.E/HEPAT.B;40306976;HEPATITE B - HBEAC (ANTI HBE);
28060083;ANTIC.CONT.ANTIG.SUPERF/HEP.B;40306992;HEPATITE B - HBSAC (ANTI-ANTIGENO DE SUPERFICIE);
28060091;ANTIC.CONTRA VIRUS EPSTEIN BAR;40307565;MONONUCLEOSE - EPSTEIN BARR - IGG;
28060105;ANTIC.IgG CONTRA O VIRUS HEP.A;40306933;HEPATITE A - HAV - IGG;
28060113;ANTIC.IgM CONTRA VIRUS HEPAT.A;40306941;HEPATITE A - HAV - IGM;
28060121;ANTIC.ANTI-MITOCONDRIA IFI P/;40306356;ANTIMITOCONDRIA;
28060130;ANTIC.ANTI-MUSCULO LISO,IFI P/;40306399;ANTIMUSCULO LISO;
28060148;ANTIC.ANTI-MUSCULO LISO,IFI P/;40306852;FATOR ANTINUCLEO, (FAN);
28060148;ANTICORPOS ANTI NUCLEO,IFI P/;40306852;FATOR ANTINUCLEO,(FAN);
28060156;ANTIC.ANTI TIREOGLOBUL.IFI HA;40316106;ANTICORPOS ANTITIREOIDE (TIREOGLOBULINA);
28060164;ANTIC.ANTI-MICROSSOMAL,IFI HA;40306348;ANTIMICROSSOMAL;
28060172;ANTI-DESOXIRIBONUCLEASE B NEUT;40307930;ANTIDESOXIRIBONUCLEASE B, NEUTRALIZACAO QUANTITATIVA;
28060180;ANTI-ESTREPTOLISINA O DETER.QT;40306445;ASLO;
28060199;ANTI-HIALURONIDASE,DETERM DA;40307921;ANTI-HIALURONIDASE, DETERMINACAO DA;
28060210;ANTIGENO AUSTRALIA (HBs Ag)RIE;40307018;HEPATITE B - HBSAG (AU, ANTIGENO AUSTRALIA);
28060229;ANTI.CARCONEMBRIOGEN.RIE /EIE;40316122;ANTIGENO CARCINOEMBRIOGENICO (CEA);
28060237;"ANTIGENO ""e"" DE HEPATITE B(HBE";40306984;"HEPATITE B - HBEAG (ANTIGENO ""E"")";
28060245;ANTIG.ISOL.DO SIST,HLA,DET.CAD;28060245;ANTIG.ISOL.DO SIST,HLA,DET.CAD;
28060253;BLASTOMICOSE(PARAC.)RFC PARA;40306496;BLASTOMICOSE, REACAO SOROLOGICA;
28060261;BLASTOMICOSE(PARAC) ID PARA;40306496;BLASTOMICOSE, REAÇÃO SOROLÓGICA;
28060270;BRUCELOSE (INCLUI PESQ.ANT.BL);40306526;BRUCELA, PROVA RAPIDA;
28060288;CANDIDINA,ID PARA;40307123;HIPERSENSIBILIDADE RETARDADA (INTRADERMO REACAO IDER ) CANDIDINA, CAXUMBA, ESTRE;
28060296;CAXUMBA,RFC PARA;40306593;CAXUMBA, IGG;
28060300;CHAGAS,HA PARA;40304647;TRIPANOSSOMA, PESQUISA;
28060318;CHAGAS IFI PARA;40306615;CHAGAS IGG;
28060326;CHAGAS(REAC.IFI,HA,RFC)R.SOROL;40306615;CHAGAS IGG;
28060334;CHAGAS RFC(MACHADO GUERREIRO)P;40307972;CHAGAS (MACHADO GUERREIRO);
28060342;CLAMIDIA RFC PARA;40306631;CHLAMYDIA - IGG;
28060342;CLAMIDIA RFC PARA;40306640;CHLAMYDIA - IgM;
28060369;CISTICERCOSE RFC OU HA PARA;40306658;CISTICERCOSE, AC;
28060377;CITOMEGALOVIRUS,RFC OU IFI P/;40306666;CITOMEGALOVIRUS IGG;
28060385;COMPLEMENTO C3IDR PARA;40306704;COMPLEMENTO C3;
28060393;COMPLEMENTO C4 IDR PARA;40306712;COMPLEMENTO C4;
28060407;COMPLEMENTO (CH50)DOSAGEM DO;40306747;COMPLEMENTO CH-50;
28060415;CRIOGLOBULINAS,PESQUISA DE;40306763;CRIO-AGLUTININA, GLOBULINA, PESQUISA, CADA;
28060423;CRIOGLOBULINAS,PESQUISA DE;40306763;CRIO-AGLUTININA, GLOBULINA, PESQUISA, CADA;
28060431;CRIPTOCOCOSE,IFI AGLUT.P/LATEX;40309053;CRIPTOCOCOSE, CANDIDA, ASPERGILUS (LATEX);
28060440;DNCB-TESTE DE CONTATO;40308022;DNCB - TESTE DE CONTATO;
28060458;EQUINOCOCOSE(CASONI) ID PARA;40306810;EQUINOCOCOSE (HIDATIDOSE), REACAO SOROLOGICA;
28060466;EQUINOCOCOSE,RFC PARA;40306828;EQUINOCOCOSE, IDR;
28060474;ESPOROTRICOSE AGL.PELO LATEX P;40306836;ESPOROTRICOSE, REACAO SOROLOGICA;
28060482;ESPOROTRIQUINA ID PARA;40306844;ESPOROTRIQUINA, IDR;
28060490;ESTREPTOQUINASE-DORNASE ID P/;40307123;HIPERSENSIBILIDADE RETARDADA (INTRADERMO REACAO IDER ) CANDIDINA, CAXUMBA, ESTRE;
28060504;FATOR REUMATOIDE TESTE LATEX P;40308030;FATOR REUMATOIDE, TESTE DO LATEX (QUALITATIVO);
28060512;FREI(LINFOG.VENEREO) ID PARA;40308049;FREI (LINFOGRANULOMA VENEREO), IDER;
28060520;FTA-ABS,ID PARA SIFILIS;40307735;SIFILIS - FTA-ABS-IGG;
28060539;GRAVIDEZ PELA IHA TEST IMUNOL.;28060539;GRAVIDEZ PELA IHA TEST IMUNOL.;
28060547;GRAVIDEZ P/AGLUT.DO LATEX T.IM;28060547;GRAVIDEZ P/AGLUT.DO LATEX T.IM;
28060555;HERPESIVIRUS,RFC PARA;28060555;HERPESIVIRUS,RFC PARA;
28060563;HIPERSENS.RETART.(IN.ID P/CAND;40307123;HIPERSENSIBILIDADE RETARDADA (INTRADERMO REACAO IDER ) CANDIDINA, CAXUMBA, ESTRE;
28060571;HISTOPLASMOSE,RFC/AGLUT.LATEX;40307158;HISTOPLASMOSE, REACAO SOROLOGICA;
28060598;IgA IDR PARA;40307220;IGA;
28060601;IgE (TOTAL POR ALEGENO/DOS)RIE;40307271;IGE, TOTAL;
28060610;IgG,IDR PARA;40307280;IGG;
28060628;IMUNOELETROFORESE(EST.GAM.MON);40307301;IGM;
28060636;IMUNOELETROFORESE (EST DA GAMOPATIA MONO;40307336;IMUNOELETROFORESE (ESTUDO DA GAMOPATIA);
28060660;INIBIDOR DE C1 ESTERASE;40307344;INIBIDOR DE C1 ESTERASE;
28060679;ITO (CANCRO MOLE) ID DE;40307360;ITO (CANCRO MOLE), IDER;
28060687;KVEIM (SARDOIDOSE ID DE;40307379;KVEIM (SARCOIDOSE), IDER;
28060695;LEISHMANIOSE IFI PARA;40310434;LEISHMANIA, PESQUISA;
28060709;LEPTOSPIROSE,REAC.AGL.MAC.MIC.;40307425;LEPTOSPIROSE, AGLUTINACAO;
28060717;LINFOCITOS(TRANSF.BLAST.)CULT.;40306780;"CULTURA OU ESTIMULACAO DOS LINFOCITOS ""IN VITRO"" POR CONCANAVALINA, PHA OU POKWE";
28060725;LINFOCITOS T e B CONTAG.ROS/IF;40304086;CD... (ANTIGENO DE DIF. CELULAR, CADA DETERMINACAO);
28060733;LINFOC.HELPER CONT.IF/OKT-4;40307433;"LINFOCITOS T ""HELPER"" CONTAGEM DE (IF COM OKT-4) (CD-4+) CITOMETRIA DE FLUXO";
28060741;LINFOC.T SUPRES.CONT.IF C/OKT8;40307441;LINFOCITOS T SUPRESSORES CONTAGEM DE (IF COM OKT-8) (D-8) CITOMETRIA DE FLUXO;
28060750;LISTERIOSE,REACAO DE AGLUT.P/;40307450;LISTERIOSE, REACAO SOROLOGICA;
28060768;MALARIA IFI PARA;40307484;MALARIA - IGG;
28060776;MANTOUX(TUBERCULOSE)ID DE;40307506;MANTOUX, IDER;
28060784;MICOPLASMA PNEUMONIAE RFC PARA;40307522;MICOPLASMA PNEUMONIAE - IGG;
28060792;MITSUDA (HANSENIASE) ID DE;41401255;TESTE DE MITSUDA;
28060806;MONOCLEOSE SOROLOGIA P/NONOT.;40308340;MONONUCLEOSE, SOROLOGIA PARA (MONOTESTE OU PAUL-BUNNEL), CADA;
28060814;MONTENEGRO(LEISHMANIOSE)ID DE;40307590;MONTENEGRO, IDER;
28060830;PAUL-BRUNELL DAVIDSOHN(MONOC);40308340;MONONUCLEOSE, SOROLOGIA PARA (MONOTESTE OU PAUL-BUNNEL), CADA;
28060849;PPD(TUBERCULOSE)ID DE;40307638;PPD (TUBERCULINA), IDER;
28060865;PROTEINA C REATIVA DETERM QT.D;40308391;PROTEINA C REATIVA, QUANTITATIVA;
28060873;PROTEINA C REATIVA PESQ.DE;40308383;PROTEINA C REATIVA, QUALITATIVA;
28060881;RICKETTSIA(WEIL FELIX)REAC.AGL;40308200;WEIL FELIX (RICKETSIOSE), REACAO DE AGLUTINACAO;
28060890;RUBEOLA IHA PARA;40323757;RUBEOLA, IHA PARA;
28060903;RUBEOLA ANTICORPOS,IgM EIE P/;40307700;RUBEOLA - IGM;
28060911;RUBEOLA ANTICORPOS IgG EIE P/;40307697;RUBEOLA - IGG;
28060920;SARAMPO RFC PARA;40308120;SARAMPO - ANTICORPOS IGG;
28060946;SCHISTOSOMOSE RFC IFI;40307719;SCHISTOSOMOSE - IGG;
28060954;SIFILIS(VDRL QT.FTA-ABS)R.SOR.;40307735;SIFILIS - FTA-ABS-IGG;
28060962;TOXOPLAS(IFI-IgG e IFI IgM)R.I;40307824;TOXOPLASMOSE IGG;
28060970;TOXOPLASMOSE(RFC HA/IF)C.REAC.;40307832;TOXOPLASMOSE IGM;
28060989;TREP.PALLADIUM(TPHA) REAC.HEM.;40307751;SIFILIS - TPHA;
28060997;TRICOFITINA ID DE;40307123;HIPERSENSIBILIDADE RETARDADA (INTRADERMO REACAO IDER ) CANDIDINA, CAXUMBA, ESTRE;
28061004;VDRL INCLUSIVE QUANT.REACAO DE;40307760;SIFILIS - VDRL;
28061012;WAALER ROSE(FATOR REUMAT.)TEST;40307867;WAALER-ROSE (FATOR REUMATOIDE);
28061039;WIDAL(FEBRE TIFOIDE)REACAO DE;40307891;WIDAL, REACAO DE;
28061047;CULTURA MISTA DE LINFOCITOS;40306780;"CULTURA OU ESTIMULACAO DOS LINFOCITOS ""IN VITRO"" POR CONCANAVALINA, PHA OU POKWE";
28061055;GENOTIPAGEM DO SIST.HLA/(A,B,C;40306887;GENOTIPAGEM DO SISTEMA HLA;
28061063;PROVA DE COMPATIBIL.HLA(C/MACT;40306771;CROSS MATCH (PROVA CRUZADA DE HISTOCOMPATIBILIDADE PARA TRANSPLANTE RENAL);
28061071;PESQ.ISOLADA DE 1 GENOTIPO HLA;40306887;GENOTIPAGEM DO SISTEMA HLA;
28061080;ANTIC.A-CORTEX SUPRARRENAL IFI;40306283;ANTICORTEX SUPRA-RENAL;
28061098;ANTIC.A-ENA(IN.SSA,SSB,SM,RNP);40306119;ANTI-RO/SSA;
28061101;ANTICORPO ANTI-FIGADO,IFI;40307948;ANTIFIGADO (GLOMERULO, TUB. RENAL CORTE RIM DE RATO), IFI;
28061110;ANTICORPOS ANTI GLOMERULO;40307948;ANTIFIGADO (GLOMERULO, TUB. RENAL CORTE RIM DE RATO), IFI;
28061128;ANTICORPOS ANTI MUSCULO ESTRI.;40306380;ANTIMUSCULO ESTRIADO;
28061136;ANTICORPOS ANTI SS-A (RO);40306119;ANTI-RO/SSA;
28061144;ANTICORPOS ANTI SS-B (LA);40306089;ANTI-LA/SSB;
28061152;ANTICORPOS ANTI SM;40306127;ANTI-SM;
28061160;ANTIC.CONTRA ANTIG.DELTA HEPAT;40307050;HEPATITE DELTA, ANTICORPO IGG;
28061179;ANTIC.HTLVIII(ANTI-HIV)EIE IFI;40307174;HIV1 OU HIV2, PESQUISA DE ANTICORPOS;
28061187;ANTICORPOS,IDENTIFICACAO;40403190;IDENTIFICAÇÃO DE ANTICORPOS SÉRICOS IRREGULARES ANTIERITROCITÁRIOS - MÉTODO DE E;
28061195;ANT.IgM CONTRA ANTIG.c HEP.B;40306968;HEPATITE B - HBCAC - IGM (ANTI-CORE IGM OU ACOREM);
28061209;ANTIC.NATURAIS E IMUNES,PESQU.;40306267;ANTICORPOS NATURAIS - ISOAGLUTININAS, PESQUISAS;
28061217;ANTICORPOS,NATUR.IMUN.TITULAG.;40306275;ANTICORPOS NATURAIS - ISOAGLUTININAS, TITULAGEM;
28061225;ANTICORPOS RNP;40306100;ANTI-RNP;
28061241;ANTIG.HISTOCOMP.SER.A/B ISOLAD;28061241;ANTIG.HISTOCOMP.SER.A/B ISOLAD;
28061250;ANTIG.METILICOS SOLUV.BCG 1APL;40307956;ANTIGENOS METILICOS SOLUVEIS DO BCG (1 APLICACAO);
28061268;ASPERGILUS RFC PARA;40306453;ASPERGILUS, REACAO SOROLOGICA;
28061276;BETA 2 MICROBLOBULINA;40306470;BETA-2-MICROGLOBULINA;
28061284;BRUCELINA ID PARA;40306526;BRUCELA, PROVA RÁPIDA;
28061292;CANDIDIASE RFC PARA;40306046;ANTICANDIDA - IGG E IGM (CADA);
28061306;CRIOGLOBULINAS DOSAGEM DE;40306755;CRIO-AGLUTININA, GLOBULINA, DOSAGEM, CADA;
28061314;DETERMINACAO DOS LINFOCITOS LB;40304086;CD... (ANTIGENO DE DIF. CELULAR, CADA DETERMINACAO);
28061322;DETERMINACAO DOS LINFOC.LTA AT;40304086;CD... (ANTIGENO DE DIF. CELULAR, CADA DETERMINACAO);
28061330;DETERM.DOS LINFOC.LTS SUPRES.;40304086;CD... (ANTIGENO DE DIF. CELULAR, CADA DETERMINACAO);
28061349;DETERM DOS LINFOC.LTT TOTAIS;40304086;CD... (ANTIGENO DE DIF. CELULAR, CADA DETERMINACAO);
28061357;EPST.BARR,PESQ.ANT.C/VIR.IgG;40307573;MONONUCLEOSE, ANTI-VCA (EBV) IGG;
28061357;MONONUCLEOSE , ANTI VCA (EBV)IgG OU IgM (CADA);40307581;MONONUCLEOSE , ANTI VCA (EBV) IgM ;
28061365;ESTREPTOZIMA;40304868;ESTREPTOZIMA;
28061373;HERPES SIMPLES,PESQ.ANTC.IgG P;40307085;HERPES SIMPLES - IGG;
28061381;HERPES SIMPLES,PESQ.ANTC.IgM P;40307093;HERPES SIMPLES - IGM;
28061390;HERPES ZOSTER PESQ.ANTIC.IgG P;40307107;HERPES ZOSTER - IGG;
28061403;HERPES ZOSTER,PESQ.ANTIC.IgM P;40307115;HERPES ZOSTER - IGM;
28061411;IMUNOCOMPLEXO CIRCULANTES;40307310;IMUNOCOMPLEXOS CIRCULANTES;
28061420;NBT ESTIMULADO;40308090;NBT ESTIMULADO;
28061438;PSITACOSE RFC PARA;40308359;PSITACOSE - IGG;
28061446;TESTE ESTIM.LINFOCITOS IN VITR;40306780;"CULTURA OU ESTIMULACAO DOS LINFOCITOS ""IN VITRO"" POR CONCANAVALINA, PHA OU POKWE";
28061470;TESTE DE INIB.MIGR.LINFOC.CAD1;40307778;TESTE DE INIBICAO DA MIGRACAO DOS LINFOCITOS (PARA CADA ANTIGENO);
28061489;TOXOPLASMINA ID PARA;40307816;TOXOPLASMINA, IDER;
28061497;TOXOPLASMOSE(IgG/IGM)EIE PARA;40307824;TOXOPLASMOSE IGG;
28061500;VARICELA RFC PARA;40308162;VARICELA, IGG;
28061519;VIRUS SINCIC.RESP.PESQ.DIR.IF;40308197;VIRUS, (SINCICIAL, RESPIRATORIO) PESQUISA DIRETA;
28061527;ANTICORPOS ANTI-HTLVIII(HIV)WB;40307875;WESTERN BLOT (ANTICORPOS ANTI-HIV);
28061535;ANTIGENO HTLVIII (HIV)EIE;40307166;HIV - ANTIGENO P24;
28061543;CRIOAGLUTININA RIE DOSAGEM DE;40306755;CRIO-AGLUTININA, GLOBULINA, DOSAGEM, CADA;
28061551;LEISHMANIOSE REACAO SOROLOG.P/;40307395;LEISHMANIOSE - IGG E IGM (CADA);
28061578;TOXOCARA CANIS,REACAO SOROL.P/;40307794;TOXOCARA CANNIS - IGG;
28061578;TOXOCARA CANNIS,ELISA;40307808;TOXOCARA CANNIS - IgM;
28061586;ANTIC.ANTIDNP REAC.P/DETEC.DE;40307913;ANTI-DMP;
28061594;CA 19/9 EIE;40316378;MARCADORES TUMORAIS (CA 19.9, CA 125, CA 72-4, CA 15-3, ETC.) CADA;
28061608;CA 125 EIE;40316378;MARCADORES TUMORAIS (CA 19.9, CA 125, CA 72-4, CA 15-3, ETC.) CADA;
28061616;MCA EIE;40307514;MCA (ANTIGENO CARCINO-MAMARIO);
28061624;PSA ANTIG.PROST.ESPECIF.)RIE;40316149;ANTIGENO ESPECIFICO PROSTATICO TOTAL (PSA);
28061632;CISTECERCOSE (EIE);40306658;CISTICERCOSE, AC;
28061640;CITOMEGALOVIRUS IGM ESPECIFICA (EIE);40306674;CITOMEGALOVIRUS IGM;
28061659;ANTICORPOS HEPATITE C;40307026;HEPATITE C - ANTI-HCV;
28061667;CA - 15 - 3 - EIE;40316378;MARCADORES TUMORAIS (CA 19.9, CA 125, CA 72-4, CA 15-3, ETC.) CADA;
28061675;AC ANTI LHOTA DE LANGHERANS;40306208;ANTICORPOS ANTI-ILHOTA DE LANGHERANS;
28061683;AC ANTI INSULINA;40316092;ANTICORPOS ANTIINSULINA;
28061691;HIV1+HIV2 (DET.CONJUNTA);40307182;HIV1+ HIV2, (DETERMINACAO CONJUNTA), PESQUISA DE ANTICORPOS;
28061705;ANTI CARDIOOLIPINA (ANTI FOSFOLIPIDEOS);40309428;FOSFOLIPÍDIOS (RELAÇÃO LECITINA/ESFINGOMIELINA);
28061713;SOROLOGIA P/ DOENCA DE LYME;40307468;LYME - IGG;
28061721;ANTI GLIADINA (GLUTEN);40306305;ANTIGLIADINA (GLUTEN) - IGA;
28061721;ANTI-GLIADINA(GLUTEN);40306313;ANTIGLIADINA(GLUTEN) IgG;
28061730;ANTI ESCLERODERMA (SCL70);40306291;ANTIESCLERODERMA (SCL 70);
28061748;CA - 72-4;40316378;MARCADORES TUMORAIS (CA 19.9, CA 125, CA 72-4, CA 15-3, ETC.) CADA;
28061756;CHAGAS EIE;40306615;CHAGAS IGG;
28061764;HISTONA;40307140;HISTONA;
28061772;GIARDIA;40306895;GIARDIA, REACAO SOROLOGICA;
28061780;ANTICARDIOLIPINA;40306135;ANTICARDIOLIPINA - IGA;
28061780;ANTICARDIOLIPINA ELISA -IGG;40306143;ANTICARDIOLIPINA IgG;
28061799;WASSERMAN;28061799;WASSERMAN;
28061802;ANTI-CARDIOLIPINA - ELISA - IGM;40306151;ANTICARDIOLIPINA - IGM;
28061810;ANTICENTROMERO;40306160;ANTICENTROMERO;
28061829;ANTI-LKM-1, IFI PARA;40306097;ANTI-LKM-1;
28061837;ANTI ACTINA IFI;40306054;ANTI-ACTINA;
28061845;ANTI-DNA, ELISA;40306062;ANTI-DNA;
28061853;ANTIESCLERODERMA (SCL 70), ELISA;40306291;ANTIESCLERODERMA (SCL 70);
28061861;ANTIPEROXIDASE TIREOIDEANA;40306437;ANTIPEROXIDASE TIREOIDEANA;
28061870;ANTI-JO1, ELISA;40306070;ANTI-JO1;
28061896;ANTI-LA/SSB, ELISA;40306089;ANTI-LA/SSB;
28061918;ANTIMITOCONDRIA (M2), ELISA;40306364;ANTIMITOCONDRIA, M2;
28061934;ANTINEUTROFILOS (ANCA) I.F;40306402;ANTINEUTROFILOS (ANCA) C;
28061942;ANTI RNP ELISA;40306100;ANTI-RNP;
28061950;ANTI-RO/SSA, ELISA;40306119;ANTI-RO/SSA;
28061985;C1Q IDIR;40306534;C1Q;
28062019;CA 50;40306569;CA 50;
28062035;CAXUMBA - ELISA;40306607;CAXUMBA, IGM;
28062043;CHAGAS ELISA TOTAL;40307964;CHAGAS;
28062078;CITOMEGALOVIRUS IGG ELISA;40306666;CITOMEGALOVIRUS IGG;
28062132;FATOR ANTINUCLEO (FAN) HEP2 - IFI;40306852;FATOR ANTINUCLEO, (FAN);
28062140;FATOR REUMATOIDE TURBID. OU NEFELOMETRICO;40306860;FATOR REUMATOIDE, QUANTITATIVO;
28062183;HELICOBACTER PYLORI ELISA;40306909;HELICOBACTER PYLORI - IGA;
28062183;HELICOBACTER PYLORI, ELISA;40306917;HELICOBACTER PYLORI - IgG;
28062183;HELICOBACTER PYLORI, ELISA;40306925;HELICOBACTER PYLORI - IgM;
28062191;HEPATITE C - ANTIGENO HVC - PCR;40314090;HEPATITE C (QUALITATIVO) POR PCR;
28062213;HPV (VIRUS PAPILOMA HUMANO) SONDA DNA;40314154;HPV (VIRUS DO PAPILOMA HUMANO) + SUBTIPAGEM QUANDO NECESSARIO PCR;
28062221;HTLV1 VIRUS PAR ESP TROP. AC PESQUISA;40307212;HTLV1 OU HTLV2 PESQUISA DE ANTICORPO (CADA);
28062230;IGD, IDIR;40307247;IGD;
28062248;IGG SUBCLASSES 1,2,3,4 IDIR (CADA);40307298;IGG, SUBCLASSES 1,2,3,4 (CADA);
28062280;LEPTOSPIROSE IFI OU ELISA IGM;40307417;LEPTOSPIROSE - IGM;
28062299;MICOPLASMA PENUMONIAE (PPLO) ELISA IGG;40307522;MICOPLASMA PNEUMONIAE - IGG;
28062302;MICOPLASMA PNEUMONIAE (PPLO) ELISA IGM;40307530;MICOPLASMA PNEUMONIAE - IGM;
28062345;SIFILIS - FTA - ABS - IGM;40307743;SIFILIS - FTA-ABS-IGM;
28062361;VARICELA, IGG, ELISA;40308162;VARICELA, IGG;
28062388;VARICELA, IGM, ELISA;40308170;VARICELA, IGM;
28062396;VARICELA, IGM - IFI;40308170;VARICELA, IGM;
28062400;IGE GRUPO ESPECIFICO (CADA);40307255;IGE, GRUPO ESPECIFICO, CADA;
28062418;IGE POR ALERGENO ESPECIFICO (CADA);40307263;IGE, POR ALERGENO, CADA (CADA);
28062426;ALERGENOS PERFIL ANTIGENICO 36 ANTIGENOS;40307905;ALERGENOS - PERFIL ANTIGENICO (PAINEL C/36 ANTIGENOS);
28062515;PSA LIVRE (INCLUI O PSA TOTAL);40316130;ANTIGENO ESPECIFICO PROSTATICO LIVRE (PSA LIVRE);
28062540;SOROLOGIA PARA DENGUE;40306690;COMPLEMENTO C2;
28062558;SOROLOGIA PARA DENGUE - AMB/99;40306798;DENGUE - IGG E IGM (CADA);
28062604;VIRUS SINCICIAL RESPERITORIO IGG/IGM CAD;40307859;VIRUS SINCICIAL RESPIRATORIO - ELISA - IGG;
28062620;SARAMPO ANTICORPOS IGG OU IGM ANTIVIRUS DO (CADA);40308138;SARAMPO - ANTICORPOS IGM;
28062639;RASTREAMENTO PRE-NATAL (TRITESTE);40502147;TESTE DUPLO - 2 TRIMESTRE (AFP+BETA-HCG) OU OUTROS 2 EM SORO OU LIQUIDO AMINIOTI;
28062647;BIOTINIDASE(TESTE DO PEZINHO) ATIVIDADE DA;40306488;BIOTINIDASE ATIVIDADE DA, QUALITATIVO;
28062671;ANTICORPOS ANTIENDOMISIO;40306259;ANTICORPOS ANTIENDOMISIO - IGG, IGM, IGA (CADA);
28070011;CLEMENTS TESTE DA;40309401;CLEMENTS, TESTE;
28070038;ESPECTOFOTOMETRIA;40309410;ESPECTROFOTOMETRIA DE LIQUIDO AMNIOTICO;
28070046;FOSTOLIPIDIOS-REACAO LECT/ESFI;40309428;FOSFOLIPIDIOS (RELACAO LECITINA/ESFINGOMIELINA);
28070054;ROTINA DO LIQ.AMN-AMINI(CIT,ES;40309444;ROTINA DO LIQUIDO AMNIOTICO-AMNIOGRAMA (CITOLOGICO ESPECTROFOTOMETRIA, CREATININ;
28080017;CRISTAIS C/LUZ POLARIZ.PESQ DE;40309509;CRISTAIS COM LUZ POLARIZADA, PESQUISA;
28080025;REGOCITOS PESQUISA DE;40309517;RAGOCITOS, PESQUISA;
28080041;ROTINA DO LIQUIDO SINOVIAL;40309525;ROTINA LIQUIDO SINOVIAL - CARACTERES FISICOS, CITOLOGIA, PROTEINAS, ACIDO URICO,;
28090020;CELULAS CONTAGEM ESPECIFICA DE;40309037;CELULAS, CONTAGEM TOTAL E ESPECIFICA;
28090039;CEL.CARACT.GERAIS LIQU.CONT GL;40309100;LCR AMBULATORIAL ROTINA (ASPECTOS COR + ÍNDICE DE COR + CONTAGEM GLOBAL E ESPECÍ;
28090047;ELETROFORESE DE PROT.C/CONCENT;40309061;ELETROFORESE DE PROTEINAS NO LIQUOR, COM CONCENTRACAO;
28090055;NONNE-APLLE,REACAO DE;40309177;"NONNE-APPLE; REACAO";
28090063;PANDY,REACAO DE;40309029;BIOQUÍMICA ICR (PROTEÍNAS + PANDY + GLICOSE + CLORO);
28090071;PUNCAO LOMBAR C/MANOMETRIA I F;30715253;PUNCAO LIQUORICA;
28090098;ROT.LIQUOR(CARAC.GER.CONT.GLOB;40309126;LCR PRONTO SOCORRO (ASPECTOS COR + INDICE DE COR + CONTAGEM GLOBAL E ESPECIF;
28090101;TAKATA ARA REACAO DE;40309185;TAKATA-ARA, REACAO;
28090128;HEMOPHILUS INFUENZAE EIE PESQD;40309088;HAEMOPHILUS INFLUENZAE - PESQUISA DE ANTICORPOS (CADA);
28090144;NEISSERIA MENNIGIDITIS-ABCW135;40309070;H. INFLUENZAE, S. PNEUMONIEAE, N. MENINGITIDIS A, B E C W135 (CADA);
28090152;LATEX(H INFL.+S PNEM + N.ME.AC;40309070;H. INFLUENZAE, S. PNEUMONIEAE, N. MENINGITIDIS A, B E C W135 (CADA);
28090160;IMUNOGLOBINA NO LIQUOR CADA;40307220;IGA;
28090179;PROTEINA MIELICA BASICA(RIE OU EIE);40309142;PROTEINA MIELINA BASICA, ANTICORPO ANTI;
28090187;CISTICERCOSE (EIE);40306658;CISTICERCOSE, AC;
28090195;CRIPTOCOCOSE(REAC.P/LAT.OU IFI)INC.TITUL;40309053;CRIPTOCOCOSE, CANDIDA, ASPERGILUS (LATEX);
28090209;LACTATO;40301109;ACIDO LACTICO (LACTATO);
28090217;ADENOSINA DEAMINASE (ADA);40309010;ADENOSINA DE AMINASE (ADA);
28090241;CELULAS, PESQ CELULAS NEOPLASICAS (CITOL;40309045;CELULAS, PESQUISA DE CELULAS NEOPLASICAS (CITOLOGIA ONCOTICA);
28100018;A FRESCO EXAME;40310019;A FRESCO, EXAME;
28100026;ANAEROBICAS CULTURA P/BACTERIA;40310132;CULTURA PARA BACTERIAS ANAEROBICAS;
28100034;ANTIBIOGRAMA(TESTE SENS.ANTIB.;40310418;ANTIBIOGRAMA (TESTE DE SENSIBILIDADE E ANTIBIOTICOS E QUIMIOTERAPICOS), POR BACT;
28100042;ANTIB.P/BACIL.ALC.RESIST.DGA2L;40310035;ANTIBIOGRAMA P/ BACILOS ÁLCOOL-RESISTENTES - DROGAS DE 2 LINHAS;
28100050;ANTIB.P/BACILOS ALC.RES.DGAS2L;40310035;ANTIBIOGRAMA P/ BACILOS ALCOOL-RESISTENTES - DROGAS DE 2 LINHAS;
28100069;BACILOS AL-ACIDO RESIS (ZIEHL OUFL DIRET;40310051;B.A.A.R. (ZIEHL OU FLUORESCENCIA, PESQUISA DIRETA E APOS HOMOGENEIZACAO);
28100093;BACTERIOSCOPIA GRAM ZEIHL,ALB.;40310060;BACTERIOSCOPIA (GRAM, ZIEHL, ALBERT ETC), POR LAMINA;
28100131;CHLAMIDIA,CULTURA OU EIE PARA;40310078;CHLAMYDIA, CULTURA;
28100140;CHLAMIDA(CITOL./IMUNOFLUO.)DIR;40306631;CHLAMYDIA - IGG;
28100239;FEZES,CULT.P/SALMOELLA,SHIGELA;40310183;CULTURA, FEZES: SALMONELLA, SHIGELLA E ESCHERICHIA COLI ENTEROPATOGENICAS (SOROL;
28100263;FEZES PESQUISA DE ROTAVIRUSEIE;40310337;ROTAVIRUS, PESQUISA, ELISA;
28100271;FUNGOS,CULTURA P/(INCL.EX DIR);40310140;CULTURA PARA FUNGOS;
28100280;FUNGOS PESQ.DE(FRESCO LACTOFEN;40310230;FUNGOS, PESQUISA DE (A FRESCO LACTOFENOL, TINTA DA CHINA);
